scl-CEMV001  V461   ----- 00 55 21.02 -33 41 01.5 0.420876  :: 20.150 19.830 19.460 0.900 0.630 0.000 1 0 RRab
scl-CEMV002  ----   ----- 00 56 09.15 -33 29 20.1 0.3059705 -- 20.326 20.163 19.840 0.298 0.254 0.168 0 1 RRc
scl-CEMV005  ----   ----- 00 56 38.94 -33 24 32.4 0.309746  -- 20.260 20.086 19.778 0.494 0.359 0.165 0 1 RRc
scl-CEMV006  ----   ----- 00 56 48.78 -33 31 16.3 0.3321113 -- 20.333 20.117 19.738 0.568 0.479 0.401 0 1 RRc
scl-CEMV008  ----   ----- 00 57 04.83 -33 45 20.6 0.2813182 -- 20.357 20.047 19.570 0.881 0.576 0.485 2 0 RRc
scl-CEMV010  ----   ----- 00 57 30.30 -33 44 01.7 0.4056391 -- 20.252 19.982 19.637 0.632 0.466 0.265 0 1 RRc
scl-CEMV012  V483   ----- 00 57 41.04 -33 30 21.9 0.3702771 -- 20.307 20.037 19.619 0.740 0.613 0.424 0 1 RRc
scl-CEMV014  V348   ----- 00 57 54.19 -33 37 43.5 0.3837578 -- 20.405 20.131 19.676 0.606 0.469 0.276 0 1 RRc
scl-CEMV015  V301   ----- 00 57 55.25 -33 47 05.1 0.659572  -- 20.418 20.077 19.539 1.075 0.886 0.451 0 1 RRab
scl-CEMV016  V302   ----- 00 57 59.11 -33 39 50.6 0.3955858 -- 20.362 20.101 19.609 0.515 0.442 0.336 0 1 RRc
scl-CEMV018  V363   ----- 00 57 59.90 -33 35 06.7 0.5787198 -- 20.400 20.110 19.586 1.366 1.187 0.700 0 0 RRab
scl-CEMV019  V535   ----- 00 58 01.34 -33 27 36.1 0.3545968 -- 20.347 20.117 19.749 0.734 0.582 0.337 0 1 RRc
scl-CEMV020  V482   ----- 00 58 04.91 -33 31 39.9 0.3621706 -- 20.397 20.151 19.724 0.591 0.499 0.287 0 1 RRc
scl-CEMV021  V520   ----- 00 58 04.83 -33 45 33.3 0.6721255 -- 20.537 20.152 19.546 0.726 0.645 0.336 0 1 RRab
scl-CEMV022  V326   ----- 00 58 12.91 -33 59 05.8 0.5797025 -- 20.414 20.109 19.579 1.210 0.985 0.572 0 1 RRab
scl-CEMV024  V334   ----- 00 58 18.89 -33 49 10.9 0.537455  -- 20.578 20.254 19.831 0.793 0.644 0.399 3 0 RRab
scl-CEMV025  V456   ----- 00 58 19.14 -33 36 29.6 0.5928154 -- 20.468 20.136 19.616 1.202 0.910 0.585 0 1 RRab
