V573  -     00 56 38.63 -33 25 23.7 Not variable?
V397  -     00 57 24.12 -33 38 02.5 Not variable?
V580  -     00 57 33.20 -33 52 00.2 Not variable?
V596  -     00 57 49.52 -33 32 23.3 Not variable?
V559  -     00 58 12.31 -33 37 50.4 Not variable?
V547  -     00 58 36.48 -34 02 11.9 Not variable?
V252  -     00 58 45.65 -33 32 12.8 Not variable
V251  -     00 59 00.13 -33 38 50.9 Not variable
V311  -     00 59 21.44 -33 48 48.6 Not variable?
V332  -     00 59 32.85 -33 57 44.4 Not variable
V554  -     00 59 35.22 -33 29 04.3 Not variable?
K403  -     00 59 36.61 -33 46 05.7 Not variable
V416  -     00 59 44.35 -33 55 19.3 Not variable?
V200  -     00 59 47.20 -33 33 37.0 Not variable?
V382  -     00 59 57.66 -33 46 56.5 Not variable?
V370  -     01 00 06.99 -33 52 25.7 Not variable?
V173  -     01 00 17.17 -33 56 06.4 Not variable
V60   -     01 00 21.78 -33 39 07.7 No bright star here; estimated position is 11.4 arcsec from K4313
V245  -     01 00 24.43 -33 25 09.7 Not variable
V558  -     01 00 24.75 -33 51 06.6 Not variable?
V557  -     01 00 26.14 -33 41 07.3 Not variable?
V54   -     01 00 28.99 -33 51 52.5 Not variable
K5081 -     01 00 30.78 -33 46 27.1 Not variable?
V45   -     01 00 39.78 -33 52 21.9 Not variable
V532  -     01 00 43.79 -33 29 08.1 Not variable?
V424  -     01 00 47.84 -33 58 54.2 Not variable?
V340  -     01 01 21.98 -33 42 22.6 Not variable?
V571  -     01 02 36.69 -33 30 07.1 Not variable?
V307  -     01 03 23.63 -33 44 16.8 Not variable?
