0.3640   20.1754   0 
0.4396   20.1039   0 
0.3621   20.1799   0 
0.4211   20.0618   0 
0.4368   20.0864   0 
0.3219   20.1633   0 
0.3200   20.1820   0 
0.3379   20.2267   0 
0.4021   20.0569   0 
0.4319   20.1006   0 
0.3527   20.1673   0 
0.3837   20.0636   0 
0.4282   20.1935   0 
0.3765   20.1674   0 
0.4414   20.0650   0 
0.3263   20.1893   0 
0.3435   23.9873   1 
0.3680   23.7802   1 
0.3423   23.9440   1 
0.3766   23.7066   1 
0.3729   23.7617   1 
0.3854   23.8504   1 
0.4428   23.7825   1 
0.4303   23.7622   1 
0.4419   23.7200   1 
0.3585   23.8695   1 
0.4007   23.6942   1 
0.3747   23.8035   1 
0.3265   23.9307   1 
0.4098   23.8668   1 
0.3877   23.8568   1 
0.3441   23.7920   1 
0.4127   23.8063   1 
0.4350   23.7121   1 
0.4041   23.7477   1 
0.4225   23.8096   1 
0.3240   24.0486   1 
0.3379   24.0083   1 
0.3589   23.8283   1 
0.3306   23.9323   1 
0.3384   23.9621   1 
0.4188   23.8438   1 
0.3282   23.9253   1 
0.3708   23.8519   1 
0.3380   23.8553   1 
0.3278   23.8725   1 
0.4002   23.8670   1 
0.4300   23.8517   1 
0.4129   23.7764   1 
0.3854   23.9108   1 
0.3367   23.9682   1 
0.3474   22.4567   2 
0.3934   22.2086   2 
0.3590   22.5051   2 
0.3589   22.4498   2 
0.3712   22.4314   2 
0.4330   22.3668   2 
0.3347   22.5215   2 
0.3998   22.4112   2 
0.4188   22.2071   2 
0.4404   22.2487   2 
0.3642   22.5733   2 
0.3535   22.4900   2 
0.4441   22.1874   2 
0.3743   22.3663   2 
0.4131   22.2952   2 
0.3575   22.4903   2 
0.4206   22.3231   2 
0.3519   22.4456   2 
0.3908   22.4132   2 
0.3232   22.5972   2 
0.4260   22.3262   2 
0.3970   22.3574   2 
0.4295   22.3075   2 
0.3246   22.5836   2 
0.3299   22.5448   2 
0.4086   22.4356   2 
0.3556   22.4004   2 
0.3368   22.4710   2 
0.3755   21.5207   3 
0.3660   21.5850   3 
0.3768   21.6504   3 
0.4176   21.3554   3 
0.3480   21.5066   3 
0.4054   21.2948   3 
0.4429   21.4228   3 
0.3574   21.5987   3 
0.4202   21.3098   3 
0.3228   21.6272   3 
0.3213   21.6758   3 
0.3257   21.5910   3 
0.3931   21.4905   3 
0.4443   21.3443   3 
0.3242   21.4864   3 
0.3853   21.5213   3 
0.3199   21.6874   3 
0.3202   21.6422   3 
0.3327   21.4857   3 
0.4035   21.3501   3 
0.3911   21.3462   3 
0.3329   21.6145   3 
0.4004   21.5077   3 
0.4213   21.4046   3 
0.3685   21.5479   3 
0.3233   21.5147   3 
0.3512   21.5258   3 
0.3669   21.3782   3 
0.4319   21.2953   3 
0.3612   21.5589   3 
0.3173   21.5763   3 
0.4256   21.4555   3 
