0.3442   -1.1901   23.5145   0.0001   23.1694   0.0001
0.2837   -2.3154   22.2261   0.0001   21.8635   0.0001
0.3596   -1.6478   18.7999   0.0001   18.3521   0.0001
0.4108   -2.1413   20.9015   0.0001   20.2759   0.0001
0.3573   -2.4621   24.0446   0.0001   23.4799   0.0001
0.3528   -2.2116   24.4607   0.0001   23.9435   0.0001
0.3174   -2.2606   21.2599   0.0001   20.8178   0.0001
0.3238   -1.4344   21.3659   0.0001   21.0326   0.0001
0.3711   -1.6931   24.4292   0.0001   23.9500   0.0001
0.4040   -1.1570   22.1095   0.0001   21.6442   0.0001
0.3319   -1.0530   18.2299   0.0001   17.9344   0.0001
0.3678   -1.6099   24.3892   0.0001   23.9295   0.0001
0.4203   -1.7711   19.7376   0.0001   19.1494   0.0001
0.2950   -1.3107   22.0434   0.0001   21.8014   0.0001
0.3249   -1.7250   19.1586   0.0001   18.7788   0.0001
0.3261   -2.2974   18.2372   0.0001   17.7684   0.0001
0.3058   -1.7021   20.1803   0.0001   19.8512   0.0001
0.3500   -1.9975   23.4635   0.0001   22.9848   0.0001
0.3069   -2.1496   19.9431   0.0001   19.5442   0.0001
0.3551   -2.4797   19.5407   0.0001   18.9782   0.0001
0.4331   -1.7858   19.4888   0.0001   18.8752   0.0001
0.3706   -2.1523   21.6062   0.0001   21.0594   0.0001
0.3552   -2.4328   24.8288   0.0001   24.2730   0.0001
0.3206   -2.3999   21.2129   0.0001   20.7422   0.0001
0.4253   -0.9539   21.9011   0.0001   21.4265   0.0001
0.4188   -1.4315   24.0244   0.0001   23.4902   0.0001
0.3956   -1.2832   21.7455   0.0001   21.2779   0.0001
0.3951   -0.8565   19.2912   0.0001   18.8887   0.0001
0.3188   -1.8398   20.0972   0.0001   19.7147   0.0001
0.3980   -2.0246   20.1696   0.0001   19.5861   0.0001
0.3337   -2.2266   20.7812   0.0001   20.3050   0.0001
0.3558   -0.9210   20.9875   0.0001   20.6577   0.0001
0.3430   -2.2776   23.5985   0.0001   23.0931   0.0001
0.3037   -1.8573   20.4457   0.0001   20.0988   0.0001
0.3708   -1.9671   21.2776   0.0001   20.7580   0.0001
0.3132   -2.3391   22.3748   0.0001   21.9316   0.0001
0.3678   -1.8246   20.6441   0.0001   20.1523   0.0001
0.3795   -1.3046   23.8560   0.0001   23.4175   0.0001
0.2873   -2.1852   22.1122   0.0001   21.7596   0.0001
0.4103   -1.3535   20.0583   0.0001   19.5518   0.0001
0.4285   -0.7616   22.9984   0.0001   22.5467   0.0001
0.3132   -2.1952   21.6935   0.0001   21.2717   0.0001
0.4329   -1.3213   21.7412   0.0001   21.1979   0.0001
0.3038   -2.0929   21.3676   0.0001   20.9851   0.0001
0.3652   -1.3530   21.4791   0.0001   21.0633   0.0001
0.2930   -2.2499   23.3575   0.0001   22.9798   0.0001
0.3204   -1.0951   18.7209   0.0001   18.4462   0.0001
0.3372   -2.4542   20.3405   0.0001   19.8225   0.0001
0.2885   -2.1036   18.5285   0.0001   18.1848   0.0001
0.3721   -0.9056   23.2727   0.0001   22.9098   0.0001
